Subject,Session,Run,Trial,Visual Stimulus,Audio Stimulus,Trial Type
50,49,1,1,farmer,panda,Mismatched Word
50,49,1,2,shoulder,astronaut,Mismatched Word
50,49,1,3,circle,claw,Mismatched Word
50,49,1,4,tearing,tearing,Matched Word
50,49,1,5,empty,arguing,Mismatched Word
50,49,1,6,fly,fly,Matched Word
50,49,1,7,drum,drum,Matched Word
50,49,1,8,bottle,gate,Mismatched Word
50,49,1,9,reading,reading,Matched Word
50,49,1,10,desk,running,Mismatched Word
50,49,1,11,cage,cage,Matched Word
50,49,1,12,candle,reading,Mismatched Word
50,49,1,13,mail,dressing,Mismatched Word
50,49,1,14,peeking,peeking,Matched Word
50,49,1,15,closet,closet,Matched Word
50,49,1,16,harp,harp,Matched Word
50,49,2,1,measuring,swimming,Mismatched Word
50,49,2,2,shark,shark,Matched Word
50,49,2,3,running,candle,Mismatched Word
50,49,2,4,wrapping,wrapping,Matched Word
50,49,2,5,lock,lock,Matched Word
50,49,2,6,baby,exercising,Mismatched Word
50,49,2,7,panda,chain,Mismatched Word
50,49,2,8,broom,broom,Matched Word
50,49,2,9,ambulance,going,Mismatched Word
50,49,2,10,jumping,jumping,Matched Word
50,49,2,11,gate,computer,Mismatched Word
50,49,2,12,smelling,smelling,Matched Word
50,49,2,13,climbing,climbing,Matched Word
50,49,2,14,desk,desk,Matched Word
50,49,2,15,cage,coin,Mismatched Word
50,49,2,16,helicopter,square,Mismatched Word
50,49,3,1,painting,caterpillar,Mismatched Word
50,49,3,2,swinging,kangaroo,Mismatched Word
50,49,3,3,lamp,bottle,Mismatched Word
50,49,3,4,decorated,measuring,Mismatched Word
50,49,3,5,branch,branch,Matched Word
50,49,3,6,bottle,bottle,Matched Word
50,49,3,7,arrow,running,Mismatched Word
50,49,3,8,raccoon,raccoon,Matched Word
50,49,3,9,cow,cow,Matched Word
50,49,3,10,money,money,Matched Word
50,49,3,11,branch,swinging,Mismatched Word
50,49,3,12,picking,ambulance,Mismatched Word
50,49,3,13,gate,gate,Matched Word
50,49,3,14,time,time,Matched Word
50,49,3,15,porcupine,helicopter,Mismatched Word
50,49,3,16,arguing,arguing,Matched Word
