bus,bus,elephant,1
drinking,drinking,car,2
hand,hand,duck,3
climbing,climbing,desk,4
key,key,shark,5
reading,reading,ship,6
closet,closet,stairs,7
jumping,jumping,hook,8
lamp,lamp,mop,9
helicopter,helicopter,balloon,10
smelling,smelling,clapping,11
fly,fly,octopus,12
digging,digging,bath,13
cow,cow,pig,14
drum,drum,guitar,15
feather,feather,paw,16
painting,painting,sink,17
cage,cage,roof,18
knee,knee,chin,19
wrapping,wrapping,basketball,20
fence,fence,window,21
elbow,elbow,neck,22
garbage,garbage,apples,23
exercising,exercising,painting,24
empty,empty,bubbles,25
shoulder,shoulder,foot,26
square,square,star,27
measuring,measuring,running,28
porcupine,porcupine,hyena,29
arrow,arrow,piano,30
peeling,peeling,dusting,31
fountain,fountain,bridge,32
accident,accident,restaurant,33
penguin,penguin,duck,34
decorated,decorated,sandwich,35
nest,nest,caterpillar,36
castle,castle,woods,37
sawing,sawing,eating,38
cactus,cactus,grass,39
farm,farm,pyramids,40
going,going,mailman,41
harp,harp,guitar,42
astronaut,astronaut,tricycle,43
raccoon,raccoon,fox,44
juggling,juggling,piano,45
envelope,envelope,newspaper,46
tearing,tearing,hiding,47
claw,claw,apples,48
cat,cat,crayons,1
baby,baby,butterfly,2
airplane,airplane,boat,3
running,running,box,4
money,money,calendar,5
swinging,swinging,drum,6
broom,broom,cup,7
eating,eating,tricycle,8
mail,mail,helicopter,9
circle,circle,square,10
ladder,ladder,coat,11
candle,candle,desk,12
neck,neck,hand,13
throwing,throwing,drinking,14
kangaroo,kangaroo,dinosaur,15
plant,plant,camera,16
can,can,glass,17
shark,shark,lobster,18
pouring,pouring,erasing,19
horn,coin,drum,20
shovel,shovel,hook,21
farmer,farmer,door,22
gate,gate,suitcase,23
swimming,swimming,sitting,24
broken,broken,closed,25
picking,picking,jumping,26
bottle,bottle,flower,27
dressing,dressing,printer,28
coin,coin,paper,29
peeking,peeking,hammering,30
camera,camera,sun,31
goat,goat,cow,32
ambulance,ambulance,library,33
pulling,pulling,fence,34
desk,desk,bed,35
yawning,yawning,reading,36
lock,lock,paw,37
panda,panda,porcupine,38
triangle,triangle,star,39
fruit,fruit,cookies,40
arguing,arguing,handshake,41
full,full,empty,42
dentist,dentist,barber,43
time,time,temperature,44
caterpillar,caterpillar,octopus,45
computer,computer,telephone,46
branch,branch,pineapple,47
chain,chain,bell,48
