//Log file created (Version=1) on 10:09:59  02-Apr-2013AM for Subject=002, Session=1
//[SendTrigger] Initialization
//TrialList generated at  3493.9068
//Screen dimensions are 1024x768
0	0	 3497.1094	START_TIME	1
1	0	 3529.5489	ScannerStart	1
1	1	 3531.8511	TrialResponse[Go]	1	1
1	1	 3531.8511	TrialResponse[Go]	1	1
1	1	 3535.7337	TrialResponse[Go]	1	2
1	1	 3535.7337	TrialResponse[Go]	1	2
1	1	 3540.8329	TrialResponse[No Go]	1	3
1	2	 3543.8659	TrialResponse[Go]	1	4
1	2	 3543.8659	TrialResponse[Go]	1	4
1	2	 3547.9820	TrialResponse[Go]	1	5
1	2	 3547.9820	TrialResponse[Go]	1	5
1	2	 3552.0482	TrialResponse[Go]	1	6
1	2	 3552.0482	TrialResponse[Go]	1	6
1	2	 3556.0142	TrialResponse[Go]	1	7
1	2	 3556.0142	TrialResponse[Go]	1	7
1	2	 3561.1634	TrialResponse[No Go]	1	8
1	3	 3564.1630	TrialResponse[Go]	1	9
1	3	 3564.1630	TrialResponse[Go]	1	9
1	3	 3568.2624	TrialResponse[Go]	1	10
1	3	 3568.2624	TrialResponse[Go]	1	10
1	3	 3573.3449	TrialResponse[No Go]	1	11
1	4	 3576.3279	TrialResponse[Go]	1	12
1	4	 3576.3279	TrialResponse[Go]	1	12
1	4	 3580.5271	TrialResponse[Go]	1	13
1	4	 3580.5271	TrialResponse[Go]	1	13
1	4	 3584.5100	TrialResponse[Go]	1	14
1	4	 3584.5100	TrialResponse[Go]	1	14
1	4	 3588.5260	TrialResponse[Go]	0	15
1	4	 3588.5260	TrialResponse[Go]	0	15
1	5	 3592.7087	TrialResponse[Go]	1	16
1	5	 3592.7087	TrialResponse[Go]	1	16
1	5	 3596.6250	TrialResponse[Go]	1	17
1	5	 3596.6250	TrialResponse[Go]	1	17
1	5	 3600.7243	TrialResponse[Go]	1	18
1	5	 3600.7243	TrialResponse[Go]	1	18
1	5	 3605.8402	TrialResponse[No Go]	1	19
1	6	 3608.8898	TrialResponse[Go]	1	20
1	6	 3608.8898	TrialResponse[Go]	1	20
1	6	 3612.9725	TrialResponse[Go]	1	21
1	6	 3612.9725	TrialResponse[Go]	1	21
1	6	 3617.0886	TrialResponse[Go]	1	22
1	6	 3617.0886	TrialResponse[Go]	1	22
1	6	 3622.1046	TrialResponse[No Go]	1	23
1	7	 3625.1377	TrialResponse[Go]	1	24
1	7	 3625.1377	TrialResponse[Go]	1	24
1	7	 3629.2869	TrialResponse[Go]	1	25
1	7	 3629.2869	TrialResponse[Go]	1	25
1	7	 3633.3362	TrialResponse[Go]	1	26
1	7	 3633.3362	TrialResponse[Go]	1	26
1	7	 3637.3857	TrialResponse[Go]	1	27
1	7	 3637.3857	TrialResponse[Go]	1	27
1	7	 3642.4016	TrialResponse[No Go]	1	28
1	8	 3645.4844	TrialResponse[Go]	1	29
1	8	 3645.4844	TrialResponse[Go]	1	29
1	8	 3649.6838	TrialResponse[Go]	1	30
1	8	 3649.6838	TrialResponse[Go]	1	30
1	8	 3653.7165	TrialResponse[Go]	1	31
1	8	 3653.7165	TrialResponse[Go]	1	31
1	8	 3658.6325	TrialResponse[No Go]	0	32
1	8	 3662.6820	TrialResponse[No Go]	1	33
1	9	 3665.8148	TrialResponse[Go]	1	34
1	9	 3665.8148	TrialResponse[Go]	1	34
1	9	 3669.7809	TrialResponse[Go]	1	35
1	9	 3669.7809	TrialResponse[Go]	1	35
1	9	 3674.8468	TrialResponse[No Go]	1	36
2	9	 3926.9354	ScannerStart	1
2	1	 3929.1770	TrialResponse[Go]	1	37
2	1	 3929.1770	TrialResponse[Go]	1	37
2	1	 3933.1600	TrialResponse[Go]	1	38
2	1	 3933.1600	TrialResponse[Go]	1	38
2	1	 3937.1420	TrialResponse[Go]	1	39
2	1	 3937.1420	TrialResponse[Go]	1	39
2	1	 3941.2247	TrialResponse[Go]	1	40
2	1	 3941.2247	TrialResponse[Go]	1	40
2	1	 3945.6741	TrialResponse[Go]	0	41
2	1	 3945.6741	TrialResponse[Go]	0	41
2	2	 3949.6070	TrialResponse[Go]	1	42
2	2	 3949.6070	TrialResponse[Go]	1	42
2	2	 3953.4730	TrialResponse[Go]	1	43
2	2	 3953.4730	TrialResponse[Go]	1	43
2	2	 3958.4888	TrialResponse[No Go]	1	44
2	3	 3961.0396	TrialResponse[Go]	1	45
2	3	 3961.0396	TrialResponse[Go]	1	45
2	3	 3965.8211	TrialResponse[Go]	1	46
2	3	 3965.8211	TrialResponse[Go]	1	46
2	3	 3970.0206	TrialResponse[Go]	1	47
2	3	 3970.0206	TrialResponse[Go]	1	47
2	3	 3974.3532	TrialResponse[Go]	0	48
2	3	 3974.3532	TrialResponse[Go]	0	48
2	4	 3978.0860	TrialResponse[Go]	1	49
2	4	 3978.0860	TrialResponse[Go]	1	49
2	4	 3981.8687	TrialResponse[Go]	1	50
2	4	 3981.8687	TrialResponse[Go]	1	50
2	4	 3985.9682	TrialResponse[Go]	0	51
2	4	 3985.9682	TrialResponse[Go]	0	51
2	5	 3989.8509	TrialResponse[Go]	1	52
2	5	 3989.8509	TrialResponse[Go]	1	52
2	5	 3994.2003	TrialResponse[Go]	1	53
2	5	 3994.2003	TrialResponse[Go]	1	53
2	5	 3999.0663	TrialResponse[No Go]	1	54
2	6	 4001.9326	TrialResponse[Go]	1	55
2	6	 4001.9326	TrialResponse[Go]	1	55
2	6	 4006.1653	TrialResponse[Go]	1	56
2	6	 4006.1653	TrialResponse[Go]	1	56
2	6	 4010.4479	TrialResponse[Go]	1	57
2	6	 4010.4479	TrialResponse[Go]	1	57
2	6	 4014.6640	TrialResponse[Go]	0	58
2	6	 4014.6640	TrialResponse[Go]	0	58
2	7	 4019.3800	TrialResponse[No Go]	0	59
2	7	 4022.2963	TrialResponse[Go]	1	60
2	7	 4022.2963	TrialResponse[Go]	1	60
2	7	 4026.3956	TrialResponse[Go]	1	61
2	7	 4026.3956	TrialResponse[Go]	1	61
2	7	 4030.5129	TrialResponse[Go]	1	62
2	7	 4030.5129	TrialResponse[Go]	1	62
2	7	 4035.5776	TrialResponse[No Go]	1	63
2	8	 4038.8605	TrialResponse[Go]	1	64
