Subject,Session,Run,Block,BlockType,Stimulus
50,49,1,1,,g_pig
50,49,1,1,,g_cow
50,49,1,1,,n_dog
50,49,1,2,,g_horse
50,49,1,2,,g_pig
50,49,1,2,,g_cow
50,49,1,2,,g_bear
50,49,1,2,,n_dog
50,49,1,3,,g_horse
50,49,1,3,,g_pig
50,49,1,3,,n_dog
50,49,1,4,,g_pig
50,49,1,4,,g_pig
50,49,1,4,,g_bear
50,49,1,4,,n_dog
50,49,1,5,,g_cow
50,49,1,5,,g_horse
50,49,1,5,,g_horse
50,49,1,5,,n_dog
50,49,1,6,,g_cow
50,49,1,6,,g_bear
50,49,1,6,,g_pig
50,49,1,6,,n_dog
50,49,1,7,,g_cow
50,49,1,7,,g_horse
50,49,1,7,,g_horse
50,49,1,7,,g_horse
50,49,1,7,,n_dog
50,49,1,8,,g_bear
50,49,1,8,,g_pig
50,49,1,8,,g_cow
50,49,1,8,,g_pig
50,49,1,8,,n_dog
50,49,1,9,,g_cow
50,49,1,9,,g_bear
50,49,1,9,,n_dog
50,49,2,1,,g_bear
50,49,2,1,,g_horse
50,49,2,1,,g_horse
50,49,2,1,,g_bear
50,49,2,1,,n_dog
50,49,2,2,,g_pig
50,49,2,2,,g_bear
50,49,2,2,,n_dog
50,49,2,3,,g_horse
50,49,2,3,,g_pig
50,49,2,3,,g_bear
50,49,2,3,,n_dog
50,49,2,4,,g_horse
50,49,2,4,,g_horse
50,49,2,4,,n_dog
50,49,2,5,,g_bear
50,49,2,5,,g_cow
50,49,2,5,,n_dog
50,49,2,6,,g_horse
50,49,2,6,,g_pig
50,49,2,6,,g_horse
50,49,2,6,,n_dog
50,49,2,7,,g_cow
50,49,2,7,,g_bear
50,49,2,7,,g_bear
50,49,2,7,,g_cow
50,49,2,7,,n_dog
50,49,2,8,,g_cow
50,49,2,8,,g_cow
50,49,2,8,,g_bear
50,49,2,8,,g_cow
50,49,2,8,,n_dog
50,49,2,9,,g_horse
50,49,2,9,,g_bear
50,49,2,9,,g_cow
50,49,2,9,,n_dog
50,49,3,1,,g_bear
50,49,3,1,,g_horse
50,49,3,1,,g_horse
50,49,3,1,,g_horse
50,49,3,1,,n_dog
50,49,3,2,,g_cow
50,49,3,2,,g_horse
50,49,3,2,,n_dog
50,49,3,3,,g_cow
50,49,3,3,,g_horse
50,49,3,3,,g_pig
50,49,3,3,,g_bear
50,49,3,3,,n_dog
50,49,3,4,,g_horse
50,49,3,4,,g_bear
50,49,3,4,,g_pig
50,49,3,4,,n_dog
50,49,3,5,,g_cow
50,49,3,5,,g_horse
50,49,3,5,,g_bear
50,49,3,5,,n_dog
50,49,3,6,,g_cow
50,49,3,6,,g_horse
50,49,3,6,,n_dog
50,49,3,7,,g_horse
50,49,3,7,,g_bear
50,49,3,7,,g_pig
50,49,3,7,,n_dog
50,49,3,8,,g_bear
50,49,3,8,,g_cow
50,49,3,8,,g_bear
50,49,3,8,,g_horse
50,49,3,8,,n_dog
50,49,3,9,,g_bear
50,49,3,9,,g_cow
50,49,3,9,,n_dog
50,49,4,1,,g_cow
50,49,4,1,,g_bear
50,49,4,1,,n_dog
50,49,4,2,,g_horse
50,49,4,2,,g_horse
50,49,4,2,,n_dog
50,49,4,3,,g_pig
50,49,4,3,,g_bear
50,49,4,3,,g_horse
50,49,4,3,,n_dog
50,49,4,4,,g_bear
50,49,4,4,,g_cow
50,49,4,4,,g_bear
50,49,4,4,,g_horse
50,49,4,4,,n_dog
50,49,4,5,,g_pig
50,49,4,5,,g_bear
50,49,4,5,,g_cow
50,49,4,5,,n_dog
50,49,4,6,,g_bear
50,49,4,6,,g_pig
50,49,4,6,,g_pig
50,49,4,6,,g_horse
50,49,4,6,,n_dog
50,49,4,7,,g_horse
50,49,4,7,,g_horse
50,49,4,7,,g_pig
50,49,4,7,,n_dog
50,49,4,8,,g_cow
50,49,4,8,,g_horse
50,49,4,8,,g_horse
50,49,4,8,,g_horse
50,49,4,8,,n_dog
50,49,4,9,,g_cow
50,49,4,9,,g_bear
50,49,4,9,,n_dog
